id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts
"3141-Sunfish-St,-Prosper,-TX-75078","3141 Sunfish St, Prosper, TX 75078",75078,Single Family,Standard,5,5,3508,7100,2023,799000,279,227.77,0.4941,3,-32.86,2
"1281-Manfreda-St,-Prosper,-TX-75078","1281 Manfreda St, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,2486,6534,2023,638000,249,256.64,0.3805,1,0.0,0
"16701-Millenium-Park-Pl,-Prosper,-TX-75078","16701 Millenium Park Pl, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3305,5924,2017,599000,202,181.24,0.5579,1,0.0,0
"15505-City-Garden-Ln,-Prosper,-TX-75078","15505 City Garden Ln, Prosper, TX 75078",75078,Single Family,Standard,5,4.5,3691,11848,2016,775000,208,209.97,0.3115,2,-22.11,1
"2130-Nocona-Dr,-Prosper,-TX-75078","2130 Nocona Dr, Prosper, TX 75078",75078,Single Family,Standard,6,3.5,4501,11674,2013,840000,103,186.63,0.3856,1,0.0,0
"1120-Twin-Oaks-Dr,-Prosper,-TX-75078","1120 Twin Oaks Dr, Prosper, TX 75078",75078,Single Family,Standard,4,3,3670,22651,2006,1149500,103,313.22,0.162,1,0.0,0
"8770-Prestonview-Dr,-Prosper,-TX-75078","8770 Prestonview Dr, Prosper, TX 75078",75078,Single Family,Standard,4,3,2532,70044,1984,899900,102,355.41,0.0361,1,0.0,0
"2150-Bryn-Mawr-Dr,-Prosper,-TX-75078","2150 Bryn Mawr Dr, Prosper, TX 75078",75078,Single Family,Standard,4,5.5,4492,10454,2021,1325000,102,294.97,0.4297,3,-1.47,1
"631-Table-Rock-Dr,-Prosper,-TX-75078","631 Table Rock Dr, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3009,11326,2004,499999,102,166.17,0.2657,1,0.0,0
"400-Trailside-Dr,-Prosper,-TX-75078","400 Trailside Dr, Prosper, TX 75078",75078,Single Family,Standard,4,2.5,3028,10019,2014,699990,99,231.17,0.3022,1,0.0,0
"1140-Broken-Bend-Dr,-Prosper,-TX-75078","1140 Broken Bend Dr, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,4603,11456,2005,980000,97,212.9,0.4018,1,0.0,0
"961-Cliff-Creek-Dr,-Prosper,-TX-75078","961 Cliff Creek Dr, Prosper, TX 75078",75078,Single Family,Standard,5,6.5,5480,26223,2017,1999999,97,364.96,0.209,2,-9.05,1
"2001-Harvard-Ave,-Prosper,-TX-75078","2001 Harvard Ave, Prosper, TX 75078",75078,Single Family,Standard,4,4.5,4750,14636,2020,1595000,97,335.79,0.3245,1,0.0,0
"1720-Highland-Meadows-Dr,-Prosper,-TX-75078","1720 Highland Meadows Dr, Prosper, TX 75078",75078,Single Family,Standard,5,4.5,3658,43996,2000,1275000,96,348.55,0.0831,1,0.0,0
"1600-Wichita-Dr,-Prosper,-TX-75078","1600 Wichita Dr, Prosper, TX 75078",75078,Single Family,Standard,4,4.5,4637,14070,2018,1000000,96,215.66,0.3296,1,0.0,0
"1300-Brittany-Way,-Prosper,-TX-75078","1300 Brittany Way, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3612,11456,2013,897990,95,248.61,0.3153,2,-2.92,1
"1730-Sweetwater-Ln,-Prosper,-TX-75078","1730 Sweetwater Ln, Prosper, TX 75078",75078,Single Family,Standard,5,4.5,4714,13983,2017,1039900,92,220.6,0.3371,1,0.0,0
"841-Ivy-Glen-Ct,-Prosper,-TX-75078","841 Ivy Glen Ct, Prosper, TX 75078",75078,Single Family,Standard,4,4.5,3593,11979,2018,1109000,91,308.66,0.2999,1,0.0,0
"1011-Yellowcress-Dr,-Prosper,-TX-75078","1011 Yellowcress Dr, Prosper, TX 75078",75078,Single Family,Standard,3,2.5,2278,8128,2016,525000,189,230.47,0.2803,1,0.0,0
"5640-Lincolnwood-Dr,-Prosper,-TX-75078","5640 Lincolnwood Dr, Prosper, TX 75078",75078,Single Family,Standard,4,2,2338,8102,2009,375000,186,160.39,0.2886,3,-9.64,2
"3881-Marigold-Ln,-Prosper,-TX-75078","3881 Marigold Ln, Prosper, TX 75078",75078,Single Family,Standard,2,2,1381,4269,2020,415000,174,300.51,0.3235,1,0.0,0
"3711-Rosemont-Dr,-Prosper,-TX-75078","3711 Rosemont Dr, Prosper, TX 75078",75078,Townhouse,Standard,3,2.5,1815,3354,2022,399000,176,219.83,0.5411,1,0.0,0
"16305-Toledo-Bend-Ct,-Prosper,-TX-75078","16305 Toledo Bend Ct, Prosper, TX 75078",75078,Single Family,Standard,4,2.5,2424,6098,2013,399000,176,164.6,0.3975,2,-13.26,1
"4180-Silver-Spur-Dr,-Prosper,-TX-75078","4180 Silver Spur Dr, Prosper, TX 75078",75078,Single Family,Standard,4,4,3492,7275,2021,945000,174,270.62,0.48,1,0.0,0
"791-Cavitt-Ct,-Prosper,-TX-75078","791 Cavitt Ct, Prosper, TX 75078",75078,Single Family,Standard,3,2.5,1815,2222,2022,450000,167,247.93,0.8168,2,-2.15,1
"4671-Summerville-Ln,-Prosper,-TX-75078","4671 Summerville Ln, Prosper, TX 75078",75078,Single Family,Standard,4,4.5,3853,12371,2022,1250000,167,324.42,0.3115,1,0.0,0
"2412-Grant-Park-Way,-Prosper,-TX-75078","2412 Grant Park Way, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,2704,5793,2016,509900,153,188.57,0.4668,1,0.0,0
"2920-Clearwater-Dr,-Prosper,-TX-75078","2920 Clearwater Dr, Prosper, TX 75078",75078,Single Family,Standard,5,4,3822,7492,2016,700000,157,183.15,0.5101,2,-6.67,1
"509-E-3rd-St,-Prosper,-TX-75078","509 E 3rd St, Prosper, TX 75078",75078,Single Family,Standard,0,1,831,7405,1925,199000,90,239.47,0.1122,2,-33.67,1
"1501-Stony-Trl,-Prosper,-TX-75078","1501 Stony Trl, Prosper, TX 75078",75078,Single Family,Standard,6,5.5,5154,32322,2016,1625000,90,315.29,0.1595,1,0.0,0
"2000-Willow-Bend-Ct,-Prosper,-TX-75078","2000 Willow Bend Ct, Prosper, TX 75078",75078,Single Family,Standard,4,4.5,4636,27878,2016,1850000,90,399.05,0.1663,1,0.0,0
"2000-Fair-Oaks-Ln,-Prosper,-TX-75078","2000 Fair Oaks Ln, Prosper, TX 75078",75078,Single Family,Standard,5,4,3718,43560,2005,1050000,90,282.41,0.0854,1,0.0,0
"2331-Rolling-Vista-Ln,-Prosper,-TX-75078","2331 Rolling Vista Ln, Prosper, TX 75078",75078,Single Family,Standard,5,5,3989,9148,2022,949900,90,238.13,0.4361,1,0.0,0
"2360-Shady-Hill-Dr,-Prosper,-TX-75078","2360 Shady Hill Dr, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3427,11326,2023,1045000,90,304.93,0.3026,1,0.0,0
"1091-Broadmoor-Ln,-Prosper,-TX-75078","1091 Broadmoor Ln, Prosper, TX 75078",75078,Single Family,Standard,5,7.5,7854,99273,2006,4000000,89,509.29,0.0791,3,-23.08,2
"1871-Aberdeen-Ln,-Prosper,-TX-75078","1871 Aberdeen Ln, Prosper, TX 75078",75078,Single Family,Standard,4,4,4153,12632,2022,1443900,88,347.68,0.3288,1,0.0,0
"411-Salada-Dr,-Prosper,-TX-75078","411 Salada Dr, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3693,10019,2015,714900,89,193.58,0.3686,2,-13.87,1
"2541-Forestbrook-Dr,-Prosper,-TX-75078","2541 Forestbrook Dr, Prosper, TX 75078",75078,Single Family,Standard,4,4.5,3882,8276,2024,999000,148,257.34,0.4691,1,0.0,0
"3851-Sand-Lily-Ln,-Prosper,-TX-75078","3851 Sand Lily Ln, Prosper, TX 75078",75078,Townhouse,Standard,2,2,1559,3485,2021,425000,146,272.61,0.4473,1,0.0,0
