id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts
"728-Chatsworth-Dr,-Anna,-TX-75409","728 Chatsworth Dr, Anna, TX 75409",75409,Single Family,Standard,4,2.5,3024,6011,2015,479999,103,158.73,0.5031,3,0.02,1
"1606-Sherwood-Dr,-Anna,-TX-75409","1606 Sherwood Dr, Anna, TX 75409",75409,Single Family,Standard,3,2,2320,8438,2022,475000,103,204.74,0.2749,2,-2.06,1
"3117-Bowen-St,-Anna,-TX-75409","3117 Bowen St, Anna, TX 75409",75409,Single Family,Standard,4,2,1658,5907,2020,269999,98,162.85,0.2807,1,0.0,0
"1316-Tree-Shadow-Ln,-Anna,-TX-75409","1316 Tree Shadow Ln, Anna, TX 75409",75409,Single Family,Standard,4,2.5,3014,7144,2022,515000,97,170.87,0.4219,1,0.0,0
"1125-Elizabeth-St,-Anna,-TX-75409","1125 Elizabeth St, Anna, TX 75409",75409,Single Family,Standard,4,2,1628,6011,2017,325900,96,200.18,0.2708,2,-8.17,1
"909-Amy-Blvd,-Anna,-TX-75409","909 Amy Blvd, Anna, TX 75409",75409,Single Family,Standard,3,2,2229,7231,2020,422000,96,189.32,0.3083,1,0.0,0
"3691-Desperado-Way,-Anna,-TX-75409","3691 Desperado Way, Anna, TX 75409",75409,Single Family,New Construction,3,2.5,2049,4796,2026,349999,96,170.81,0.4272,1,0.0,0
"1800-Rodeo-Dr,-Anna,-TX-75409","1800 Rodeo Dr, Anna, TX 75409",75409,Single Family,Standard,4,3,2528,10890,2012,375000,96,148.34,0.2321,1,0.0,0
"1455-Rabbit-Run-Rd,-Anna,-TX-75409","1455 Rabbit Run Rd, Anna, TX 75409",75409,Single Family,Standard,3,2.5,3015,164962,2008,949000,93,314.76,0.0183,1,0.0,0
"1405-Oak-Hollow-Ln,-Anna,-TX-75409","1405 Oak Hollow Ln, Anna, TX 75409",75409,Single Family,Standard,3,2,1620,6534,2004,260000,91,160.49,0.2479,1,0.0,0
"1909-Wolf-Run,-Anna,-TX-75409","1909 Wolf Run, Anna, TX 75409",75409,Single Family,Standard,3,2,1819,7405,2020,279900,90,153.88,0.2456,1,0.0,0
"301-Thorn-Creek-Dr,-Anna,-TX-75409","301 Thorn Creek Dr, Anna, TX 75409",75409,Single Family,New Construction,5,3,2854,5502,2026,424990,90,148.91,0.5187,1,0.0,0
"8645-County-Rd,-419,-Anna,-TX-75409","8645 County Rd, 419, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2740,130680,1998,649000,90,236.86,0.021,1,0.0,0
"2114-Cedar-Trl,-Anna,-TX-75409","2114 Cedar Trl, Anna, TX 75409",75409,Single Family,Standard,4,3,2523,7405,2012,379900,86,150.57,0.3407,1,0.0,0
"1409-Brentfield-Dr,-Anna,-TX-75409","1409 Brentfield Dr, Anna, TX 75409",75409,Single Family,Standard,5,4,3569,7971,2021,540000,89,151.3,0.4477,1,0.0,0
"2320-Atlantic-Ave,-Anna,-TX-75409","2320 Atlantic Ave, Anna, TX 75409",75409,Single Family,Standard,4,2,2064,8581,2022,389990,88,188.95,0.2405,1,0.0,0
"251-Cyrus-St,-Anna,-TX-75409","251 Cyrus St, Anna, TX 75409",75409,Single Family,Standard,5,2.5,2619,7623,2017,385000,86,147.0,0.3436,2,-15.38,1
"1229-Sunbeam-Cv,-Anna,-TX-75409","1229 Sunbeam Cv, Anna, TX 75409",75409,Single Family,Standard,5,3,2186,6708,2022,394900,87,180.65,0.3259,1,0.0,0
"1505-Helmoken-Falls-Dr,-Anna,-TX-75409","1505 Helmoken Falls Dr, Anna, TX 75409",75409,Single Family,Standard,3,2,1516,8059,2021,300000,86,197.89,0.1881,2,-4.76,1
"3112-Greymoore-Dr,-Anna,-TX-75409","3112 Greymoore Dr, Anna, TX 75409",75409,Single Family,Standard,4,3,2519,7318,2022,455000,86,180.63,0.3442,1,0.0,0
"2604-Freeman-St,-Anna,-TX-75409","2604 Freeman St, Anna, TX 75409",75409,Single Family,Standard,3,2,1667,6098,2024,329999,84,197.96,0.2734,1,0.0,0
"612-Sand-Piper-Ln,-Anna,-TX-75409","612 Sand Piper Ln, Anna, TX 75409",75409,Single Family,New Construction,4,2.5,2694,7405,2026,479900,83,178.14,0.3638,1,0.0,0
"312-Kelvington-Dr,-Anna,-TX-75409","312 Kelvington Dr, Anna, TX 75409",75409,Single Family,Standard,4,2,2232,7797,2014,395000,83,176.97,0.2863,1,0.0,0
"308-Tate-Ln,-Anna,-TX-75409","308 Tate Ln, Anna, TX 75409",75409,Single Family,Standard,3,2,1797,7231,2022,344000,83,191.43,0.2485,1,0.0,0
"307-Lake-Forest-Trl,-Anna,-TX-75409","307 Lake Forest Trl, Anna, TX 75409",75409,Single Family,Standard,3,2,2137,9322,2021,450000,83,210.58,0.2292,1,0.0,0
"1904-Buckfield-Dr,-Anna,-TX-75409","1904 Buckfield Dr, Anna, TX 75409",75409,Single Family,New Construction,4,3.5,3481,48,2026,536695,82,154.18,72.5208,1,0.0,0
"1900-Buckfield-Dr,-Anna,-TX-75409","1900 Buckfield Dr, Anna, TX 75409",75409,Single Family,New Construction,5,4,3481,48,2026,536753,82,154.2,72.5208,1,0.0,0
"2936-Kimberwick-Dr,-Anna,-TX-75409","2936 Kimberwick Dr, Anna, TX 75409",75409,Single Family,New Construction,4,2.5,2156,4617,2025,349990,82,162.33,0.467,2,-7.84,1
"225-Charleston-Dr,-Anna,-TX-75409","225 Charleston Dr, Anna, TX 75409",75409,Single Family,Standard,3,2,1626,7841,2006,279999,81,172.2,0.2074,1,0.0,0
"801-Peach-Tree-Ln,-Anna,-TX-75409","801 Peach Tree Ln, Anna, TX 75409",75409,Single Family,Standard,3,2,1635,6011,2021,312500,81,191.13,0.272,4,-7.95,3
"1602-Westfall-Dr,-Anna,-TX-75409","1602 Westfall Dr, Anna, TX 75409",75409,Single Family,Standard,4,2,1726,5619,2019,299999,81,173.81,0.3072,1,0.0,0
"914-Cottonwood-Trl,-Anna,-TX-75409","914 Cottonwood Trl, Anna, TX 75409",75409,Single Family,Standard,4,2,1621,9583,2012,310000,81,191.24,0.1692,1,0.0,0
"3120-Creek-Meadow-Dr,-Anna,-TX-75409","3120 Creek Meadow Dr, Anna, TX 75409",75409,Single Family,Standard,4,3,3192,10890,2022,575000,79,180.14,0.2931,1,0.0,0
"716-Westgate-Ct,-Anna,-TX-75409","716 Westgate Ct, Anna, TX 75409",75409,Single Family,Standard,3,2,1699,7405,2013,269000,78,158.33,0.2294,2,-15.67,1
"1324-Elijah-Dr,-Anna,-TX-75409","1324 Elijah Dr, Anna, TX 75409",75409,Single Family,Standard,4,3,3306,6011,2024,499000,78,150.94,0.55,1,0.0,0
"1209-Gardendale-Hollow-Ln,-Anna,-TX-75409","1209 Gardendale Hollow Ln, Anna, TX 75409",75409,Single Family,Standard,4,2,1847,6534,2024,339900,76,184.03,0.2827,2,-5.79,1
"2100-Penaflor-Dr,-Anna,-TX-75409","2100 Penaflor Dr, Anna, TX 75409",75409,Single Family,Standard,3,2,1647,6011,2021,314500,75,190.95,0.274,1,0.0,0
"2105-Bluebird-Ln,-Anna,-TX-75409","2105 Bluebird Ln, Anna, TX 75409",75409,Single Family,New Construction,3,2,1998,6970,2026,439900,76,220.17,0.2867,1,0.0,0
"116-Birdbrook-Dr,-Anna,-TX-75409","116 Birdbrook Dr, Anna, TX 75409",75409,Single Family,Standard,3,2,1684,6098,2006,298000,75,176.96,0.2762,2,-1.65,1
"3241-Cross-Shore-Dr,-Anna,-TX-75409","3241 Cross Shore Dr, Anna, TX 75409",75409,Single Family,Standard,4,3,2624,6098,2024,486200,73,185.29,0.4303,1,0.0,0
"3009-Teakwood-St,-Anna,-TX-75409","3009 Teakwood St, Anna, TX 75409",75409,Single Family,Standard,4,2,2036,7971,2021,344990,74,169.44,0.2554,1,0.0,0
"1017-Crepe-Myrtle-Ln,-Anna,-TX-75409","1017 Crepe Myrtle Ln, Anna, TX 75409",75409,Single Family,Standard,4,3,2089,7405,2020,390000,73,186.69,0.2821,1,0.0,0
"1806-River-Crossing-Dr,-Anna,-TX-75409","1806 River Crossing Dr, Anna, TX 75409",75409,Single Family,Standard,3,2,1281,5619,2021,280000,69,218.58,0.228,1,0.0,0
"280-Pecan-Hollow-Cir,-Anna,-TX-75409","280 Pecan Hollow Cir, Anna, TX 75409",75409,Single Family,Standard,4,3.5,3708,43560,2016,699900,68,188.75,0.0851,2,-14.12,1
"2008-Meadow-Dr,-Anna,-TX-75409","2008 Meadow Dr, Anna, TX 75409",75409,Single Family,Standard,4,2,2025,7275,2022,369995,68,182.71,0.2784,1,0.0,0
"605-Warner-Dr,-Anna,-TX-75409","605 Warner Dr, Anna, TX 75409",75409,Single Family,Standard,4,3,1932,8668,2019,369000,67,190.99,0.2229,1,0.0,0
"717-Sequoia-Dr,-Anna,-TX-75409","717 Sequoia Dr, Anna, TX 75409",75409,Single Family,Standard,3,2,1737,6098,2004,296000,65,170.41,0.2848,1,0.0,0
"1129-Honeywell-Dr,-Anna,-TX-75409","1129 Honeywell Dr, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2736,6098,2007,323000,64,118.06,0.4487,1,0.0,0
"725-Lyndhurst-Dr,-Anna,-TX-75409","725 Lyndhurst Dr, Anna, TX 75409",75409,Single Family,Standard,5,2.5,3330,6621,2018,455000,62,136.64,0.5029,3,-3.19,1
"1615-County-Rd,-1106,-Anna,-TX-75409","1615 County Rd, 1106, Anna, TX 75409",75409,Single Family,Standard,4,3,2476,44431,2020,899000,62,363.09,0.0557,2,-7.98,1
"2032-Athabasca-Falls-Dr,-Anna,-TX-75409","2032 Athabasca Falls Dr, Anna, TX 75409",75409,Single Family,Standard,3,2,1850,6098,2005,275000,62,148.65,0.3034,1,0.0,0
"902-Lyndhurst-Dr,-Anna,-TX-75409","902 Lyndhurst Dr, Anna, TX 75409",75409,Single Family,Standard,3,2,1840,6621,2020,360000,62,195.65,0.2779,1,0.0,0
"3110-County-Rd,-222,-Anna,-TX-75409","3110 County Rd, 222, Anna, TX 75409",75409,Single Family,Standard,4,2.5,2640,46522,2018,575000,61,217.8,0.0567,1,0.0,0
